Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
" 172123446406602 ",Brodench,Caritta,31-07-1913,"+71607100288 ",Caritta.Brodench@gmail.com,916159,8769937,44830.3
" 212126563944178 ",Jillane,Mireielle,02-01-1972,"0115305686 ",Mireielle.Jillane@gmail.com,349529,7652305,31276.3
" 247012A46609007 ",Vorster,Quintina,16-09-1983,"+28631310166 ",Quintina.Vorster@gmail.com,35786,6657890,7578.3
" 199099651887822 ",Michella,Charmaine,11-06-1947,"+38777504604 ",Charmaine.Michella@gmail.com,72447,4382561,84051.6
" 257128885322617 ",Cosenza,Ada,17-03-1912,"+26972638376 ",Ada.Cosenza@gmail.com,867370,8748873,52663.7
" 253092A02230053 ",Diogenes,Dacia,10-07-1971,"0390096936 ",Dacia.Diogenes@gmail.com,338123,7036373,23607.2
" 151012B20184228 ",Nunci,Cristabel,15-01-2002,"+13406576282 ",Cristabel.Nunci@gmail.com,433500,7792322,85506.2
" 294127489261630 ",Keily,Lexine,23-02-1989,"+61542794356 ",Lexine.Keily@gmail.com,338010,4884807,23597.6
" 160094044981250 ",Anestassia,Karina,06-12-1981,"0760719881 ",Karina.Anestassia@gmail.com,388382,5341180,56886.3
" 130012A51338016 ",Israeli,Cyndie,24-04-1909,"+25145206119 ",Cyndie.Israeli@gmail.com,392817,2213797,59327.5
" 190052B19447661 ",Randene,Chandra,22-10-1947,"0446700293 ",Chandra.Randene@gmail.com,499165,6039705,36277.5
" 242096670389909 ",Johnsson,Winny,21-03-1945,"0965224956 ",Winny.Johnsson@gmail.com,93993,7026117,41298.5
" 298105490712822 ",Aida,Deane,26-05-1961,"+20879746970 ",Deane.Aida@gmail.com,647444,7525225,27986.1
" 166010174632173 ",Borrell,Tierney,10-12-2004,"+10830036565 ",Tierney.Borrell@gmail.com,421130,7068375,61470.9
" 116102A67813126 ",Cottle,Alexine,18-02-1926,"+96966872163 ",Alexine.Cottle@gmail.com,132473,6469106,77964.5
" 268087522980247 ",Dituri,Aaren,17-03-1959,"+96344617947 ",Aaren.Dituri@gmail.com,617170,4751128,99899.7
" 131082B21381110 ",Brieta,Ileana,25-09-1944,"+43974170729 ",Ileana.Brieta@gmail.com,266730,5031407,87213.8
" 270031407581357 ",Martsen,Yvonne,02-09-1908,"0919386439 ",Yvonne.Martsen@gmail.com,97637,2012213,41314.8
" 111066427409630 ",Whittaker,Lynea,02-12-1940,"0666731211 ",Lynea.Whittaker@gmail.com,384078,7024608,41698.2
" 295112A06842170 ",Havens,Sue,12-06-1962,"+06836876412 ",Sue.Havens@gmail.com,321505,7749569,68074.7
" 186102450370789 ",Himelman,Phedra,06-01-1946,"+98762489944 ",Phedra.Himelman@gmail.com,144982,5616245,31242.9
" 203052A29625207 ",Kendrick,Gilligan,22-06-1969,"+10996334524 ",Gilligan.Kendrick@gmail.com,702552,3046425,69306.3
" 159025976908663 ",Percy,Genevra,01-01-1905,"0707308769 ",Genevra.Percy@gmail.com,533566,2805971,61738.7
" 210122283594000 ",Koziara,Ottilie,01-07-1982,"+86660731915 ",Ottilie.Koziara@gmail.com,604988,1487023,28698.9
" 106025248639192 ",Lauraine,Kayla,18-02-1944,"+92913141435 ",Kayla.Lauraine@gmail.com,768797,8308893,50702
" 228039276018632 ",Brady,Carree,26-04-1967,"+63572477863 ",Carree.Brady@gmail.com,840164,4034503,54720.5
" 244127447340618 ",Cornelia,Gui,16-01-1910,"0245573489 ",Gui.Cornelia@gmail.com,633534,4399260,50332.8
" 145108073559325 ",Autrey,Johna,27-08-2003,"+42255763465 ",Johna.Autrey@gmail.com,768722,4794513,18242.9
" 250082A20695000 ",Abbot,Justinn,22-03-1920,"+75226494103 ",Justinn.Abbot@gmail.com,637143,1403094,87258.1
" 169108209110793 ",Abbot,Selma,08-02-1949,"0111600461 ",Selma.Abbot@gmail.com,410801,3219418,44910.2
" 276110505433802 ",Ummersen,Johna,17-11-1968,"0698682017 ",Johna.Ummersen@gmail.com,392237,8268053,67038.4
" 298058735445717 ",Moseley,Ruthe,17-06-1977,"+56394743511 ",Ruthe.Moseley@gmail.com,224986,2980803,25493
" 107121190619043 ",Eiser,Carly,28-08-1993,"0275519910 ",Carly.Eiser@gmail.com,570920,8085707,75230.4
" 169085221565642 ",Waite,Carol-Jean,21-06-1968,"+10741017496 ",Carol-Jean.Waite@gmail.com,366525,2850170,80863.9
" 106122B00006481 ",Ellord,Reeba,15-08-1972,"0596377150 ",Reeba.Ellord@gmail.com,528910,1079884,88162.9
" 173052B89069610 ",Gladstone,Karina,26-07-1998,"0527938898 ",Karina.Gladstone@gmail.com,786768,3705112,93762.9
" 194072A71349323 ",Nerita,Maud,07-06-1930,"+93985543856 ",Maud.Nerita@gmail.com,677659,4070801,66796.4
