Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
295074407483540,Old,Agnese,21-09-1903,0893030020,Agnese.Old@gmail.com,770578,1897728,944081.7
278100208009159,Cecile,Dale,25-04-1993,0988215138,Dale.Cecile@gmail.com,365129,3925383,657255.7
264075151307575,Brunell,Zondra,25-01-1951,0198912340,Zondra.Brunell@gmail.com,809500,2938992,764035.3
218021232924892,Lorenz,Juliane,07-09-1973,0500921225,Juliane.Lorenz@gmail.com,960646,4935440,390630.6
286100094187674,Muriel,Kristina,08-11-1908,0695168379,Kristina.Muriel@gmail.com,436778,8589001,16926.8
217100760311650,Rillings,Nananne,09-09-1958,0249527617,Nananne.Rillings@gmail.com,210745,3849527,455516.4
149121459135251,Colyer,Nelle,08-09-1911,0235148958,Nelle.Colyer@gmail.com,285682,1563917,848714.8
156119261609393,Elvyn,Joane,19-08-1967,+38449727467,Joane.Elvyn@gmail.com,110130,9951842,178890.9
260072852021514,Brunell,Raf,22-02-1996,+53131060403,Raf.Brunell@gmail.com,840715,6580100,667430.5
174111902383715,Gamaliel,Gui,05-11-1996,0708828395,Gui.Gamaliel@gmail.com,407351,5325717,153024.8
286117383373709,Allina,Gertrud,16-08-1916,0754050208,Gertrud.Allina@gmail.com,36292,9258718,159735.2
172073460790143,Jehu,Dorene,09-06-1977,0269413813,Dorene.Jehu@gmail.com,458266,4014104,485608.2
188127920353918,Randene,Tybie,30-05-1985,+58558116328,Tybie.Randene@gmail.com,834809,3680979,518948
110016160544185,Zitvaa,Flory,17-05-1969,+32867411397,Flory.Zitvaa@gmail.com,633177,3482220,578061.1
230117612343917,Bivins,Kirbee,01-07-1956,0947391377,Kirbee.Bivins@gmail.com,382604,8046473,314161.1
137057968628468,Bouchard,Winny,22-05-1925,0954226023,Winny.Bouchard@gmail.com,489077,2164697,598827.4
170070819720422,Faria,Daphne,05-02-1942,0309975674,Daphne.Faria@gmail.com,374593,8645533,654902.6
247108295134307,Jarib,Pierette,06-04-1991,0262523209,Pierette.Jarib@gmail.com,212094,7228176,720427.6
262055702404445,Capello,Zsa Zsa,21-02-2002,0704308320,Zsa Zsa.Capello@gmail.com,833959,5897597,353025.6
193019291308195,Wandie,Malina,24-04-1937,+44641113538,Malina.Wandie@gmail.com,769530,1449340,23694.5
283028443804965,Ashok,Molli,25-02-1919,0735287747,Molli.Ashok@gmail.com,688623,6565542,108241.5
265026746907375,Alejoa,Demetris,25-07-1940,+18469311105,Demetris.Alejoa@gmail.com,192964,3388409,630625.7
230069727747131,Santoro,Melisent,21-05-1921,0160739218,Melisent.Santoro@gmail.com,2383,7837635,830987.6
210046611648297,Constancy,Lulita,13-07-1941,+95983541092,Lulita.Constancy@gmail.com,119762,4703671,152948.2
238104994121330,Lunsford,Pamella,25-11-1975,0406146965,Pamella.Lunsford@gmail.com,306864,2991262,239016.1
160105493940166,Magdalen,Dotty,25-06-1977,0357572363,Dotty.Magdalen@gmail.com,108043,8711704,709292.4
292026066403335,Emmy,Atlanta,27-03-1932,+40976306765,Atlanta.Emmy@gmail.com,765218,5091577,13651.2
148111041274576,Daegal,Allyce,21-04-1941,0797256877,Allyce.Daegal@gmail.com,890771,7932504,966570.4
267105713395224,Dorcy,Ana,25-07-1926,0774475331,Ana.Dorcy@gmail.com,886938,5774478,194260.8
116110817154741,Infield,Roseline,17-11-1904,+21326002310,Roseline.Infield@gmail.com,974986,5278980,492130.1
290104083282251,Joseph,Mamie,23-07-1998,0733043606,Mamie.Joseph@gmail.com,975823,4072430,92477.6
209082903699434,Salchunas,Coral,26-03-1916,+61892295970,Coral.Salchunas@gmail.com,525748,7131876,21890.7
